mean1	mean2	sd1	sd2	sampleID
-3.7814844	0.19288597	-3.899271	-4.8216496	Jew_Ethiopian_EthiopianJew1574
-3.540652	0.15887031	-3.856498	-4.9250474	Jew_Ethiopian_EthiopianJew1804
-3.612501	0.13182983	-3.8535697	-4.8356533	Jew_Ethiopian_EthiopianJew1818
-3.4291909	0.16346106	-3.809211	-4.943203	Jew_Ethiopian_EthiopianJew1822
-3.6175544	0.105967134	-3.8275254	-4.881447	Jew_Ethiopian_EthiopianJew1831
-3.4794557	0.16553172	-3.8919525	-5.015616	Jew_Ethiopian_EthiopianJew4690
-3.4192638	2.2702754	-3.8546846	-4.5361247	Gambian_HG02464
-3.3993075	2.2134378	-3.834769	-4.5182276	Gambian_HG02465
-3.8064	2.3735723	-3.8724148	-4.4752684	Gambian_HG02570
-3.6153114	2.2027936	-3.8622353	-4.5077	Gambian_HG02571
-3.4935005	2.1818883	-3.9003537	-4.5743957	Gambian_HG02573
-4.0715604	2.2984095	-3.925432	-4.5153584	Gambian_HG02574
-2.0960817	0.9431343	-3.4668522	-4.9533477	Hadza_Bar04
-2.185387	0.87072456	-3.3716054	-4.848199	Hadza_Bar08
-2.1275961	0.8270018	-3.4188206	-4.864904	Hadza_Bar10
-2.1819427	1.0035425	-3.4701087	-4.9350624	Hadza_Bar13
-2.0516136	0.8929738	-3.3782136	-4.8574977	Hadza_End08
-0.62922597	7.2705483	-4.284141	-3.0162158	Ju_hoan_North_HGDP00987
-0.6910485	7.2117057	-4.33765	-2.9991992	Ju_hoan_North_HGDP00991
-0.54105484	6.921723	-4.2478914	-3.0961695	Ju_hoan_North_HGDP00992
-0.26397666	5.4954886	-3.954977	-3.616252	Ju_hoan_North_HGDP01032
-0.5383223	7.0295362	-4.2641582	-3.1074998	Ju_hoan_North_HGDP01036
-0.4386029	7.3353653	-4.314105	-2.946994	Khomani_SA010
-0.6697029	7.702745	-4.329414	-2.7673268	Khomani_SA016
0.005609654	6.0713816	-4.018633	-3.3113813	Khomani_SA018
-0.120286085	5.513131	-3.9538395	-3.5594704	Khomani_SA047
0.2323995	5.846763	-3.931072	-3.3834019	Khomani_SA063
1.2122693	4.051891	-3.3554218	-3.8573706	Khomani_SA064
1.0570225	4.1478705	-3.4051728	-3.6817253	Khomani_SA073
1.1952515	4.502287	-3.370918	-3.5166981	Khomani_SA078
-1.3251791	1.8822912	-3.6052883	-5.1540613	Khomani_SA083
0.86147475	3.6916137	-3.3336906	-3.9278052	Khomani_SA1004
0.5309477	5.012048	-3.6515298	-3.5907276	Khomani_SA1025
-3.116503	1.4411722	-3.8477995	-4.8346243	Kikuyu_Ayodo_47K
-3.2884	1.0872241	-3.817157	-4.827152	Kikuyu_Ayodo_61K
-3.449185	1.2258583	-3.8021746	-4.790304	Kikuyu_Ayodo_67K
-3.3394132	1.0939673	-3.8303354	-4.855303	Kikuyu_Ayodo_83K
-4.328358	-0.8883413	-4.2761755	-4.47604	Libyan_LIB7
-4.2100153	-1.1025965	-4.3168793	-4.587553	Libyan_LIB13
-4.0427365	-0.8645166	-4.202693	-4.6142793	Libyan_LIB18
-4.0727954	-0.9204941	-4.3322906	-4.5806017	Libyan_LIB27
-4.048859	-0.80957377	-4.2155013	-4.5715475	Libyan_LIB30
-4.4835744	-1.9136921	-4.525085	-4.4196544	Jew_Libyan_LibyanJew1104
-4.7196937	-1.879998	-4.4762516	-4.297854	Jew_Libyan_LibyanJew1263
-4.13827	-1.8607732	-4.4987216	-4.4541264	Jew_Libyan_LibyanJew1438
-4.5928206	-2.0060403	-4.5270715	-4.3406625	Jew_Libyan_LibyanJew1462
-4.5488997	-1.9734247	-4.512911	-4.385224	Jew_Libyan_LibyanJew1601
-4.200169	-1.9195713	-4.440424	-4.422309	Jew_Libyan_LibyanJew1605
-4.7529335	-1.918888	-4.5238867	-4.3179784	Jew_Libyan_LibyanJew1611
-4.659744	-1.9587412	-4.5003943	-4.360606	Jew_Libyan_LibyanJew1639
-4.748013	-1.932236	-4.5318785	-4.305149	Jew_Libyan_LibyanJew1659
-2.554467	1.4362097	-3.6742725	-4.728873	Luhya_NA19017
-2.7312677	1.4629661	-3.690003	-4.706328	Luhya_NA19019
-2.9846525	1.6189235	-3.7562382	-4.7010584	Luhya_NA19020
-2.9723012	1.9753894	-3.7853844	-4.648905	Luhya_NA19023
-3.0232856	1.8755673	-3.786951	-4.6534142	Luhya_NA19024
-3.0664907	1.560027	-3.8384626	-4.696133	Luhya_NA19026
-3.0354779	1.5030963	-3.7863367	-4.737729	Luhya_NA19027
-2.8829715	1.4283569	-3.718581	-4.7058697	Luhya_NA19044
-2.832331	1.982555	-3.7741015	-4.6902714	Luo_Ayodo_412C
-2.8283334	1.4940732	-3.666712	-4.6842694	Luo_Ayodo_423C
-2.7827115	1.5083215	-3.7528095	-4.742579	Luo_Ayodo_430C
-2.978598	1.8538677	-3.804729	-4.6807594	Luo_Ayodo_438C
-2.6597795	1.5311053	-3.7057424	-4.7276587	Luo_Ayodo_458C
-3.0129814	1.4226354	-3.7497456	-4.7037997	Luo_Ayodo_460C
-3.031698	1.4999694	-3.7597237	-4.72645	Luo_Ayodo_502C
-2.8656662	1.5429076	-3.7503927	-4.726292	Luo_Ayodo_604C
-3.7145863	2.48979	-3.8752725	-4.4375467	Mandenka_HGDP00904
-3.7268875	2.2849703	-3.9436386	-4.496842	Mandenka_HGDP00905
-3.7837384	2.3409014	-3.9021347	-4.503416	Mandenka_HGDP00906
-3.7685733	2.394957	-3.8725326	-4.5124536	Mandenka_HGDP00907
-3.6692338	2.322036	-3.8908608	-4.4957843	Mandenka_HGDP00908
-3.4525943	2.2907803	-3.887008	-4.493594	Mandenka_HGDP00909
-3.6823828	2.2885141	-3.862198	-4.433792	Mandenka_HGDP00910
-3.526675	2.3075018	-3.9057965	-4.473783	Mandenka_HGDP00912
-3.5339868	2.2690196	-3.8528354	-4.525196	Mandenka_HGDP00913
-3.659554	2.2780213	-3.85719	-4.5055404	Mandenka_HGDP00915
-3.9721737	2.4348476	-3.8841221	-4.468016	Mandenka_HGDP00917
-3.7538157	2.4193387	-3.8753245	-4.46175	Mandenka_HGDP01199
-3.8537235	2.5537481	-3.9149673	-4.4439564	Mandenka_HGDP01200
-3.4693646	2.3064857	-3.8901927	-4.504466	Mandenka_HGDP01202
-3.793924	2.36541	-3.8527625	-4.501523	Mandenka_HGDP01283
-3.3190458	2.2324467	-3.853371	-4.5240507	Mandenka_HGDP01284
-3.6702616	2.3579464	-3.9069147	-4.498702	Mandenka_HGDP01286
-3.1302137	0.8197695	-3.80652	-4.9145794	Masai_NA21302
-3.1934826	0.75136805	-3.674562	-4.8880625	Masai_NA21310
-3.106394	0.7174243	-3.77144	-4.8963475	Masai_NA21366
-3.3770182	0.7021862	-3.7634614	-4.8615084	Masai_NA21425
-3.1335194	0.7564163	-3.7659423	-4.885292	Masai_NA21477
-3.1018171	0.77202535	-3.6604638	-4.85956	Masai_NA21487
-3.1095273	0.760033	-3.6905577	-4.9038477	Masai_NA21490
-3.0471997	0.6100311	-3.7201622	-4.8995204	Masai_NA21514
-3.1842768	0.933494	-3.7615907	-4.884307	Masai_NA21581
-3.112461	0.77112913	-3.7278662	-4.883283	Masai_NA21648
-3.1116722	0.85164607	-3.7357836	-4.8596725	Masai_Ayodo_101M
-3.1934557	0.90143836	-3.757123	-4.897571	Masai_Ayodo_103M
-0.50315833	3.1619897	-3.5454714	-4.153803	Mbuti_HGDP00449
-0.3911502	3.0990932	-3.4513147	-4.184648	Mbuti_HGDP00462
-0.6374754	3.1465614	-3.5597377	-4.192144	Mbuti_HGDP00463
-1.0553027	3.3403742	-3.6876452	-4.2357826	Mbuti_HGDP00467
-0.9065856	3.2492166	-3.6323059	-4.2512703	Mbuti_HGDP00474
-0.7473558	3.119725	-3.5339186	-4.2477074	Mbuti_HGDP00476
-0.41077504	3.0591283	-3.435083	-4.0618873	Mbuti_HGDP00478
-0.46174964	3.1206408	-3.5369601	-4.1801624	Mbuti_HGDP00982
-0.37866172	3.1349397	-3.4814003	-4.1485767	Mbuti_HGDP00984
-0.29734573	3.0510306	-3.4406419	-4.232173	Mbuti_HGDP01081
-2.9631908	2.0518897	-3.8059938	-4.554838	Mende_HG03052
-3.0022705	2.12094	-3.7572405	-4.4577656	Mende_HG03057
-3.0312717	2.248915	-3.7993639	-4.522702	Mende_HG03069
-3.2023509	2.1289556	-3.8596008	-4.4911194	Mende_HG03072
-3.3690412	2.3257594	-3.8681154	-4.455079	Mende_HG03076
-3.1446545	2.2791312	-3.8561003	-4.5704765	Mende_HG03078
-3.0768156	2.3576996	-3.8021276	-4.475249	Mende_HG03085
-3.2176757	2.3693428	-3.8004096	-4.481968	Mende_HG03097
-4.704759	-0.60599315	-4.2623386	-4.4752645	Moroccan_MCA7
-4.785952	-0.5109681	-4.2423987	-4.4497423	Moroccan_MCA8
-5.175339	-0.80737877	-4.4023075	-4.3204126	Moroccan_MCA9
-4.6847634	-0.7481835	-4.2977686	-4.4290414	Moroccan_MCA14
-4.6414666	-0.60197914	-4.240597	-4.513386	Moroccan_MCA16
-4.6392694	-0.1088728	-4.1530156	-4.56512	Moroccan_MCA19
-4.900715	-0.5692445	-4.306341	-4.481355	Moroccan_MCA24
-4.673905	-0.8911005	-4.297405	-4.530669	Moroccan_MCA37
-4.3552194	-0.19830003	-4.131594	-4.5724463	Moroccan_MCA38
-4.7546096	-0.313435	-4.2171497	-4.55365	Moroccan_MCA39
-4.3712497	-2.1592932	-4.450967	-4.289477	Jew_Moroccan_MoroccanJew4634
-4.4023128	-2.1733468	-4.4963694	-4.367326	Jew_Moroccan_MoroccanJew4683
-4.2964087	-2.0953999	-4.4879146	-4.368307	Jew_Moroccan_MoroccanJew4692
-4.56937	-2.0247784	-4.52561	-4.277009	Jew_Moroccan_MoroccanJew4789
-4.4522142	-2.1517777	-4.5229454	-4.276616	Jew_Moroccan_MoroccanJew5126
-3.9287963	-2.2940881	-4.5069513	-4.3521605	Jew_Moroccan_MoroccanJew5168
-6.1307397	-0.48873654	-4.686574	-4.3328004	Mozabite_HGDP01253
-6.153131	-0.46573249	-4.7554865	-4.3377213	Mozabite_HGDP01254
-5.204611	-1.2805939	-4.549773	-4.3324637	Mozabite_HGDP01255
-5.5757303	-0.4627563	-4.48511	-4.4017897	Mozabite_HGDP01256
-5.889808	-0.41189423	-4.7001905	-4.3876405	Mozabite_HGDP01257
-6.1549106	-0.54163444	-4.746435	-4.3023086	Mozabite_HGDP01258
-5.4351177	-0.4962763	-4.505495	-4.4031987	Mozabite_HGDP01259
-4.8647943	-0.8306018	-4.3899107	-4.482302	Mozabite_HGDP01262
-5.193155	-1.0904473	-4.4521313	-4.36524	Mozabite_HGDP01263
-6.124555	-0.6508666	-4.730751	-4.3310943	Mozabite_HGDP01264
-6.120972	-0.614143	-4.7370524	-4.2989016	Mozabite_HGDP01265
-5.97915	-0.45676556	-4.6462603	-4.3718433	Mozabite_HGDP01268
-6.1819215	-0.57755125	-4.8075666	-4.3581877	Mozabite_HGDP01272
